timestamp_CF,country_CF,state_CF,sourcehost_CF,username_CF,longitude_CF,latitude_CF
2023-02-06T09:07:25Z,Belgium,Brussels,181.214.218.45,RECEPTION2,4.35609,50.84439
2023-02-06T09:07:23Z,India,Maharashtra,14.98.168.90,for,73.01204,19.14248
2023-02-06T09:07:21Z,Netherlands,North Holland,181.214.206.71,ADMINISTRATOR,4.87326,52.37018
2023-02-06T09:07:20Z,India,Maharashtra,14.98.168.90,for,73.01204,19.14248
2023-02-06T09:07:19Z,Netherlands,North Holland,181.214.206.156,MED,4.87326,52.37018
2023-02-06T09:07:18Z,Belgium,Brussels,181.214.218.45,RECEPTION2,4.35609,50.84439
2023-02-06T09:07:16Z,India,Maharashtra,14.98.168.90,for,73.01204,19.14248
2023-02-06T09:07:15Z,Netherlands,North Holland,181.214.206.71,ADMINISTRATOR,4.87326,52.37018
2023-02-06T09:07:14Z,Netherlands,North Holland,181.214.206.156,MARYSE,4.87326,52.37018
2023-02-06T09:07:13Z,India,Maharashtra,14.98.168.90,for,73.01204,19.14248
2023-02-06T09:07:12Z,Ireland,,40.127.192.124,AZUREADMIN,-6.24827,53.34807
2023-02-06T09:07:10Z,India,Maharashtra,14.98.168.90,for,73.01204,19.14248
2023-02-06T09:07:09Z,Netherlands,North Holland,181.214.206.71,ADMINISTRATOR,4.87326,52.37018
2023-02-06T09:07:08Z,Belgium,Brussels,181.214.218.45,ADMINISTRACION,4.35609,50.84439
2023-02-06T09:07:07Z,India,Maharashtra,14.98.168.90,for,73.01204,19.14248
2023-02-06T09:07:06Z,Netherlands,North Holland,181.214.206.71,ADMINISTRATOR,4.87326,52.37018
2023-02-06T09:07:05Z,Belgium,Brussels,181.214.218.45,ADMINISTRACION,4.35609,50.84439
2023-02-06T09:07:04Z,Netherlands,North Holland,181.214.206.71,ADMINISTRATOR,4.87326,52.37018
2023-02-06T09:07:03Z,Belgium,Brussels,181.214.218.45,ADMINISTRACION,4.35609,50.84439
2023-02-06T09:07:02Z,Netherlands,North Holland,181.214.206.156,MAHENDRA,4.87326,52.37018
2023-02-06T09:07:00Z,India,Maharashtra,14.98.168.90,for,73.01204,19.14248
2023-02-06T09:06:59Z,Belgium,Brussels,181.214.218.45,ADMINISTRACION,4.35609,50.84439
2023-02-06T09:06:57Z,India,Maharashtra,14.98.168.90,for,73.01204,19.14248
2023-02-06T09:06:56Z,India,Maharashtra,14.98.168.90,for,73.01204,19.14248
2023-02-06T09:06:55Z,Belgium,Brussels,181.214.218.45,ADMINISTRACION,4.35609,50.84439
2023-02-06T09:06:54Z,Netherlands,North Holland,181.214.206.71,ADMINISTRATOR,4.87326,52.37018
2023-02-06T09:06:53Z,Netherlands,North Holland,181.214.206.156,PAGE,4.87326,52.37018
2023-02-06T09:06:52Z,Belgium,Brussels,181.214.218.45,ADMINISTRACION,4.35609,50.84439
2023-02-06T09:06:51Z,Netherlands,North Holland,181.214.206.71,ADMINISTRATOR,4.87326,52.37018
2023-02-06T09:06:50Z,Netherlands,North Holland,181.214.206.156,MCC,4.87326,52.37018
2023-02-06T09:06:49Z,Belgium,Brussels,181.214.218.45,ADMINISTRACION,4.35609,50.84439
2023-02-06T09:06:48Z,India,Maharashtra,14.98.168.90,for,73.01204,19.14248
2023-02-06T09:06:47Z,Netherlands,North Holland,181.214.206.71,ADMINISTRATOR,4.87326,52.37018
2023-02-06T09:06:45Z,India,Maharashtra,14.98.168.90,for,73.01204,19.14248
2023-02-06T09:06:44Z,Netherlands,North Holland,181.214.206.156,MMILLS,4.87326,52.37018
2023-02-06T09:06:43Z,Cambodia,Phnom Penh,221.120.160.130,DEMOUSER,104.89302,11.56887
2023-02-06T09:06:42Z,United States,Washington,20.124.251.35,STUDENT,-122.89166,47.03956
2023-02-06T09:06:41Z,Netherlands,North Holland,181.214.206.71,ADMINISTRATOR,4.87326,52.37018
2023-02-06T09:06:39Z,India,Maharashtra,14.98.168.90,for,73.01204,19.14248
2023-02-06T09:06:38Z,India,Maharashtra,14.98.168.90,for,73.01204,19.14248
2023-02-06T09:06:36Z,India,Maharashtra,14.98.168.90,for,73.01204,19.14248
2023-02-06T09:06:35Z,Netherlands,North Holland,181.214.206.156,INTACT,4.87326,52.37018
2023-02-06T09:06:34Z,Belgium,Brussels,181.214.218.45,SQLEXEC,4.35609,50.84439
2023-02-06T09:06:33Z,India,Maharashtra,14.98.168.90,for,73.01204,19.14248
2023-02-06T09:06:32Z,India,Maharashtra,14.98.168.90,for,73.01204,19.14248
2023-02-06T09:06:31Z,Belgium,Brussels,181.214.218.45,SQLEXEC,4.35609,50.84439
2023-02-06T09:06:30Z,India,Maharashtra,14.98.168.90,for,73.01204,19.14248
2023-02-06T09:06:29Z,India,Maharashtra,14.98.168.90,for,73.01204,19.14248
2023-02-06T09:06:28Z,Belgium,Brussels,181.214.218.45,SQLEXEC,4.35609,50.84439
2023-02-06T09:06:27Z,Netherlands,North Holland,181.214.206.156,KIMBERLEY,4.87326,52.37018
